timestamp,latitude,longitude,agency,complaint_type,descriptor,location_type,borough
1710741207,40.626399,-73.948635,DCWP,Food Poisoning,Gas Hook-Up/Piping - Illegal Or Defective,Curb,QUEENS
1725280582,40.743594,-73.889912,DPR,Litter Basket Request,Non-Food Vendor,Curb,STATEN ISLAND
1704304187,40.833369,-73.722092,NYPD,Damaged Tree,Tortured,Apartment,MANHATTAN
1707140598,40.778819,-73.909407,DEP,Vendor Enforcement,Water Meter Broken/Leaking - Private Residence (Cmr),Hallway,Unspecified
1693381097,40.594349,-74.140479,DCWP,Appliance,Excessive Water In Basement (Wefb),School,STATEN ISLAND
1729574131,40.822766,-73.999521,NYC311-PRD,Outdoor Dining,Dirty Water (We),Private School,QUEENS
1699369449,40.602473,-73.889168,DCWP,Street Sweeping Complaint,Work Without A Permit - Occupied Multiple Dwelling,Building (Non-Residential),QUEENS
1687235380,40.573872,-73.723119,DSNY,Missed Collection,Bell/Buzzer/Intercom,Street/Curbside,BROOKLYN
1734119570,40.856301,-73.998946,OOS,Missed Collection,Trash,Store/Commercial,STATEN ISLAND
1712509328,40.633265,-73.834612,DPR,Plumbing,Veh Signal Head,Stairwell,QUEENS
1728287753,40.880879,-74.004748,DHS,Street Sign - Missing,Pedestrian Feature,Residential Building/House,MANHATTAN
1723000086,40.603841,-73.899286,OOS,Traffic Signal Condition,Rat Or Mouse,Sidewalk,Unspecified
1688604718,40.615331,-74.207384,DOE,Dumpster Complaint,Food Vendor,OTHER,MANHATTAN
1732479216,40.726864,-74.173894,DOB,Illegal Posting,Unauthorized Tree Removal,Club/Bar/Restaurant,Unspecified
1686907334,40.526976,-74.02582,DSNY,Missed Collection,Noise,3+ Family Mixed Use Building,BROOKLYN
1728443580,40.67646,-73.752339,HPD,Snow Or Ice,Air: Other Air Problem (Use Comments) (Azz),Street/Sidewalk,QUEENS
1704558768,40.502476,-74.056533,OOS,Illegal Posting,"Noise, Ice Cream Truck (Nr4)",Street,Unspecified
1721849657,40.729376,-73.918211,DOB,New Tree Request,Drug Store Or Pharmacy,House Of Worship,QUEENS
1705140082,40.51219,-74.065129,NYC311-PRD,Unsanitary Condition,"No Parking, Standing, Stopping",Comercial,QUEENS
1734258593,40.553604,-73.907759,DCWP,Illegal Tree Damage,Smoking,Street/Sidewalk,Unspecified
1674367987,40.535258,-74.014263,TLC,Missed Collection,Defacement,3+ Family Mixed Use Building,MANHATTAN
1697990429,40.637488,-73.999915,DOHMH,Taxi Complaint,Maintenance,House Of Worship,QUEENS
1689478855,40.850663,-73.991331,NYPD,Noise - Vehicle,Bicycle Chained To Tree,Park,BROOKLYN
1716179631,40.52882,-73.723493,DCWP,Street Sweeping Complaint,Aps,Hallway,BROOKLYN
1728868894,40.50856,-74.16619,DHS,Mobile Food Vendor,Trash And Bulky Trash,Bus Stop Shelter,STATEN ISLAND
1687176552,40.695314,-74.109066,DOHMH,Damaged Tree,Squirrel,Taxi,Unspecified
1720757337,40.548104,-73.799384,DOE,Broken Parking Meter,Sign/Awning/Marquee - Illegal/No Permit,3+ Family Apartment Building,MANHATTAN
1711190264,40.784486,-73.723005,DOT,Street Condition,Dog,Alley,STATEN ISLAND
1718895548,40.84884,-74.116433,NYPD,Traffic,Hitting Power Lines,Taxi,BRONX
1725983103,40.913215,-73.819551,DOHMH,Noise - Street/Sidewalk,"Noise: Boat(Engine,Music,Etc) (Nr10)",Park/Playground,BRONX
1706503653,40.771968,-74.243041,DOT,Violation Of Park Rules,Plate Condition - Noisy,Building (Non-Residential),QUEENS
1696855227,40.766946,-73.794211,NYPD,Consumer Complaint,Noise: Jack Hammering (Nc2),Commercial Building,Unspecified
1707563031,40.905499,-74.101455,OOS,Noise - Street/Sidewalk,Zoning - Non-Conforming/Illegal Vehicle Storage,School,QUEENS
1701780109,40.846809,-73.924139,DOHMH,Wood Pile Remaining,Excessive Water In Basement (Wefb),Apartment,MANHATTAN
1731714467,40.689337,-73.837238,HPD,Plumbing,Trash And Bulky Trash,Private School,MANHATTAN
1674475224,40.707609,-74.071242,DPR,Door/Window,Laundromat,House And Store,MANHATTAN
1691316763,40.869734,-73.864349,DOE,Non-Residential Heat,After Hours - Licensed Est,Store/Commercial,BROOKLYN
1678294588,40.60137,-74.026465,DSNY,Taxi Complaint,Entire Tree Has Fallen Down,School,Unspecified
1720320135,40.706145,-73.813887,DEP,Food Establishment,Dumpster - Construction Waste,Public/Unfenced Area,Unspecified
1688877133,40.628607,-73.930144,DPR,Non-Emergency Police Matter,Refrigerator,Park,QUEENS
1722608079,40.731163,-74.056504,DPR,Emergency Response Team (Ert),Hotel Or Motel,House And Store,BROOKLYN
1680646279,40.802939,-74.076449,NYPD,Noise - Street/Sidewalk,Window/Frame,Commercial Building,BROOKLYN
1687070527,40.810214,-74.097925,HPD,Taxi Complaint,Recycling - Metal/Glass/Rigid Plastic,Taxi,MANHATTAN
1679295392,40.849704,-74.087064,DOHMH,Day Care,Hitting Power Lines,1-2 Family Dwelling,Unspecified
1708394399,40.553165,-74.224966,DCWP,Non-Emergency Police Matter,Grass/Weeds,Business,Unspecified
1730830644,40.816173,-74.193577,DCWP,Outdoor Dining,Garbage/Recycling Storage,School,QUEENS
1702108560,40.643096,-73.718976,DOE,Mold,Catch Basin Clogged/Flooding (Use Comments) (Sc),Alley,QUEENS
1705549753,40.531115,-73.903805,DCWP,Consumer Complaint,Compost,Street/Sidewalk,MANHATTAN
1678265593,40.917446,-74.184852,OOS,Investigations And Discipline (Iad),Squirrel,Taxi,STATEN ISLAND
1687694807,40.825791,-74.040792,DPR,Food Poisoning,Slow Leak,Residential Building,MANHATTAN
1710709277,40.760831,-73.914703,NYPD,Boilers,Window/Frame,Curb,Unspecified
1686710861,40.611151,-74.205347,DOB,Day Care,"Rough, Pitted Or Cracked Roads",Alley,BROOKLYN
1672728764,40.671577,-73.870846,DPR,Food Establishment,Asbestos Complaint (B1),Gutter,MANHATTAN
1719992202,40.618742,-73.777216,DEP,Sidewalk Condition,Elevator - Multiple Devices On Property,House And Store,Unspecified
1712129309,40.777697,-73.736482,DOT,Building/Use,Rodent Sighting,Gutter,Unspecified
1682547709,40.881533,-73.795353,DEP,Best/Site Safety,Curb Cut/Driveway/Carport - Illegal,Mixed Use,STATEN ISLAND
1722810901,40.846181,-73.743344,DPR,Bus Stop Shelter Complaint,Partial Access,Mixed Use,Unspecified
1699561089,40.895924,-73.97474,DPR,Litter Basket Request,Branches Damaged,Taxi,BRONX
1732237359,40.681452,-74.072723,DOE,Animal In A Park,Building Permit - None,Gutter,Unspecified
1728649432,40.861417,-73.927082,DCWP,Taxi Complaint,Trash Or Recycling Not Secure,House Of Worship,STATEN ISLAND
1675249101,40.820506,-74.153645,DSNY,Safety,Non-Food Vendor,House Of Worship,BROOKLYN
1711830006,40.683072,-73.802165,DEP,Mobile Food Vendor,Lamppost Knocked Down,Residential,MANHATTAN
1694095054,40.781456,-73.778247,DOHMH,Indoor Sewage,Unauthorized Tree Removal,Sidewalk,MANHATTAN
1717014428,40.896981,-73.802539,DSNY,Animal-Abuse,Out Of Order,Apartment,MANHATTAN
1689487400,40.635775,-73.716398,DOT,Noise - House Of Worship,1 Or 2,Street,QUEENS
1700281775,40.522766,-73.964858,HPD,Street Sweeping Complaint,Possible Water Main Break (Use Comments) (Wa1),Yard,QUEENS
1723551301,40.521677,-74.103119,DHS,Flooring/Stairs,Noise: Private Carting Noise (Nq1),Sidewalk,BRONX
1674486595,40.908722,-73.915121,DOB,Special Projects Inspection Team (Spit),Controller,Mixed Use,STATEN ISLAND
1673466877,40.731946,-74.198735,TLC,Building/Use,Overnight Commercial Storage,Bus Stop Shelter,Unspecified
1728393383,40.564668,-73.737041,DOE,Noise - House Of Worship,Unsafe Driving,House Of Worship,QUEENS
1728566575,40.70265,-73.990279,DPR,Non-Emergency Police Matter,Coin Or Card Did Not Register,Private School,BROOKLYN
1734414724,40.751739,-73.839539,DHS,Bike Rack,Food Worker Hygiene,Residential,MANHATTAN
1735245548,40.830841,-74.103055,DCWP,Flooring/Stairs,Veh Signal Visor,Mixed Use,STATEN ISLAND
1711467199,40.919539,-73.980698,DHS,Lost Property,Restaurant,School,MANHATTAN
1694858867,40.731805,-73.951113,DPR,General Construction/Plumbing,Derelict Vehicles,Hallway,STATEN ISLAND
1698249938,40.598096,-73.823451,DCWP,General,Waste Not Separated,School,Unspecified
1733848460,40.840792,-74.037657,NYC311-PRD,Unsanitary Animal Pvt Property,Syringes,Club/Bar/Restaurant,QUEENS
1675033544,40.553023,-73.719056,DOHMH,Boilers,Non-Chronic,Building (Non-Residential),STATEN ISLAND
1733647906,40.69191,-73.852656,DOT,Safety,Congestion/Gridlock,Alley,QUEENS
1724996474,40.907066,-74.063791,NYPD,Illegal Tree Damage,Suspicious Activity,Apartment,MANHATTAN
1729748858,40.78323,-73.956508,DOHMH,Residential Disposal Complaint,Veh Sgnl Mult Lamps,Sidewalk,STATEN ISLAND
1674958347,40.759333,-74.120876,NYC311-PRD,Flooring/Stairs,Electric/Gas Range,Apartment,QUEENS
1679155606,40.819355,-73.86286,DEP,Litter Basket Request,Curb Defect-Metal Protruding,Mixed Use,BRONX
1675635601,40.636237,-74.219134,DOHMH,Illegal Fireworks,Noise: Construction Before/After Hours (Nm1),Club/Bar/Restaurant,BROOKLYN
1708195168,40.673062,-73.87501,DHS,Damaged Tree,Dead Branches In Tree,Apartment,STATEN ISLAND
1730990256,40.660669,-73.874276,DPR,Outside Building,Clothing/Glasses,Gutter,QUEENS
1715358255,40.60667,-74.10957,DCWP,Unsanitary Condition,Parking Permit Improper Use,Lobby,Unspecified
1709230780,40.56635,-74.007049,DOHMH,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Yard,QUEENS
1718875355,40.605041,-73.785083,DOB,Illegal Posting,Pet/Animal,Building (Non-Residential),BROOKLYN
1698142124,40.740208,-73.933853,NYPD,Food Establishment,"Air: Smoke, Chimney Or Vent (As1)",Public/Unfenced Area,MANHATTAN
1673092645,40.73769,-73.87281,NYPD,Asbestos,Squirrel,Sidewalk,MANHATTAN
1724608295,40.835521,-73.916114,DOHMH,Drinking,Street Light Lamp Dim,Common Area,STATEN ISLAND
1689368479,40.784661,-73.853489,NYC311-PRD,Sidewalk Condition,Chronic Speeding,Yard,BRONX
1733175596,40.763532,-74.228318,OOS,Litter Basket Request,Bag/Wallet,Subway,MANHATTAN
1721697032,40.555193,-73.749705,DOHMH,Street Sign - Missing,Noise,Commercial Building,BROOKLYN
1681418293,40.830335,-73.767947,DOHMH,Noise - Residential,Post,House Of Worship,BROOKLYN
1689794170,40.883901,-73.730697,OOS,Food Establishment,Waste Set Out Too Early Or Too Late,OTHER,BRONX
1703978387,40.904415,-74.172584,DOB,Sewer,Veh Signal Lens,Public/Unfenced Area,STATEN ISLAND
1697095948,40.537927,-74.032984,DOE,Noise - Street/Sidewalk,Chained,Restaurant/Bar/Deli/Bakery,MANHATTAN
1717701948,40.814585,-74.105811,DOT,Violation Of Park Rules,Street Light Lamp Missing,Park/Playground,BRONX
1717836714,40.598205,-74.236236,DSNY,General Construction/Plumbing,St Name - Attached To Pole,Gutter,Unspecified
1676791623,40.76687,-73.994653,NYPD,Food Poisoning,Suspicious Activity,Residential,BRONX
1681929476,40.519046,-74.229533,DPR,Building/Use,Bulky Trash,Hallway,STATEN ISLAND
1681653460,40.663231,-74.045944,NYPD,Snow Or Ice,Restaurant Status,Residential,STATEN ISLAND
1722362030,40.805172,-73.763022,NYC311-PRD,Boilers,Plate Condition - Noisy,UNKNOWN,QUEENS
1735567984,40.899639,-74.232006,DOHMH,Door/Window,OTHER,Residential Building/House,BROOKLYN
1729957490,40.652328,-73.71049,DOHMH,Noise - Vehicle,Structure - Outdoors,Park,BRONX
1699267899,40.61587,-73.717486,TLC,Violation Of Park Rules,Out Of Order,Apartment,Unspecified
1686783380,40.769516,-73.92157,DCWP,Asbestos,Inadequate Sweeping,Hallway,BROOKLYN
1725362406,40.737123,-74.212264,OOS,Non-Emergency Police Matter,Door/Frame,Subway,BROOKLYN
1727112261,40.865272,-74.069292,DHS,Unleashed Dog,Snow Removal Requested,1-2 Family Dwelling,MANHATTAN
1730155859,40.913292,-73.70686,DSNY,Electrical,Dead Branches In Tree,Bus Stop Shelter,Unspecified
1730695533,40.510828,-74.241827,OOS,Unleashed Dog,Engine Idling,Subway,MANHATTAN
1673608250,40.573183,-74.221181,NYPD,Investigations And Discipline (Iad),Recycling - Paper,Bus Stop Shelter,Unspecified
1676814507,40.700023,-73.822091,DSNY,Overgrown Tree/Branches,Car/Truck Music,Residential Building/House,STATEN ISLAND
1687417152,40.897075,-74.226149,OOS,Sanitation Worker Or Vehicle Complaint,Rat Or Mouse,Mixed Use,QUEENS
1715723062,40.904891,-74.216546,DPR,Water System,No Certificate Of Occupancy/Illegal/Contrary To Co,Residential Building,Unspecified
1679794395,40.705913,-73.749665,DEP,Bike/Roller/Skate Chronic,Illegal Conversion Of Residential Building/Space,Taxi,BROOKLYN
1676957060,40.553,-73.906625,HPD,Non-Emergency Police Matter,Use Indoor,Mobile Food Vendor,QUEENS
1712639488,40.722834,-74.000457,HPD,Litter Basket Complaint,Bus Stop,Bus Stop Shelter,Unspecified
1716231477,40.868637,-73.946766,TLC,Door/Window,Noise: Construction Before/After Hours (Nm1),Residential Building/House,BROOKLYN
1700319758,40.642351,-74.000576,DOT,Street Sign - Damaged,Bulky Recycling,Mobile Food Vendor,QUEENS
1693522301,40.779345,-74.044134,DHS,Sidewalk Condition,Ped Multiple Lamps,Alley,BRONX
1728368466,40.535853,-74.012468,NYPD,Street Sign - Dangling,Loud Talking,Business,STATEN ISLAND
1676574455,40.746315,-73.941127,DOHMH,School Maintenance,Ceiling,Residential,MANHATTAN
1731175998,40.779443,-73.837344,TLC,Street Light Condition,Bicycle Chained To Tree,Lobby,STATEN ISLAND
1693517290,40.647691,-73.932145,DOB,Consumer Complaint,Toilet,School,BROOKLYN
1729408852,40.545452,-73.785045,DOHMH,Building/Use,Window/Frame,House Of Worship,STATEN ISLAND
1687726479,40.839033,-73.785165,OOS,Vendor Enforcement,Storage Area Not Provided,UNKNOWN,Unspecified
1715680010,40.733831,-73.915053,NYC311-PRD,Water Conservation,Unauthorized Tree Removal,House Of Worship,BRONX
1684656717,40.614774,-73.830675,DOHMH,Heat/Hot Water,Adjacent Buildings Not Protected,Commercial Building,BROOKLYN
1710554365,40.776085,-74.211728,NYPD,Rodent,Aps,Apartment,Unspecified
1708149290,40.590356,-74.019092,DOHMH,Curb Condition,Loud Music/Party,Mixed Use,Unspecified
1694318167,40.826271,-73.937824,DEP,Asbestos,Congestion/Gridlock,Comercial,STATEN ISLAND
1675888704,40.783067,-74.100343,NYC311-PRD,Lead,Planted Less Than 2 Years Ago,Taxi,QUEENS
1700344600,40.61473,-73.834781,DEP,Heat/Hot Water,Noise: Construction Before/After Hours (Nm1),Bus Stop Shelter,MANHATTAN
1718063632,40.784964,-73.982352,NYC311-PRD,For Hire Vehicle Complaint,Bathtub/Shower,Gutter,QUEENS
1712769217,40.523008,-74.137567,DOB,Traffic,Chronic Speeding,House And Store,MANHATTAN
1694569118,40.550393,-73.976438,DOT,Day Care,Chemical Spill/Release (Ha1),Private School,STATEN ISLAND
1719771779,40.596647,-73.942702,NYC311-PRD,Urinating In Public,Laundromat,Alley,QUEENS
1730381227,40.811657,-74.010079,DPR,Bike/Roller/Skate,Hydrant Knocked Over/Missing (Wc),Street/Sidewalk,QUEENS
1711029401,40.669858,-73.897922,DOE,Building/Use,"No Parking, Standing, Stopping",3+ Family Apartment Building,MANHATTAN
1684083413,40.836555,-73.910031,TLC,Smoking Or Vaping,Letter Grading,Apartment,QUEENS
1729221586,40.544463,-74.010378,DOT,Noise - Residential,Branch Or Limb Has Fallen Down,Public/Unfenced Area,MANHATTAN
1722599314,40.642596,-74.066812,DHS,Bike/Roller/Skate,Power Outage,Yard,BRONX
1708157486,40.71418,-73.751742,DOHMH,Heat/Hot Water,Vehicle Signal,Club/Bar/Restaurant,BROOKLYN
1679448295,40.561507,-74.141501,HPD,Consumer Complaint,Window Pane,Alley,BROOKLYN
1724414157,40.763738,-73.994826,HPD,Taxi Complaint,Sign/Awning/Marquee - Illegal/No Permit,Residential Building/House,Unspecified
1734568142,40.87046,-73.896354,HPD,General Construction/Plumbing,Street Fair Vendor,Mobile Food Vendor,BROOKLYN
1702061183,40.52868,-74.006786,DOE,Unsanitary Animal Pvt Property,Food Worker Activity,Subway,BRONX
1696167642,40.713081,-74.079276,DPR,Animal-Abuse,Bird,Park/Playground,MANHATTAN
1677698530,40.77076,-73.712447,DEP,Plumbing,Snow Or Ice,Stairwell,QUEENS
1703601253,40.743738,-73.725173,NYPD,Appliance,Opossum,Street/Sidewalk,Unspecified
1685181736,40.635041,-73.988404,DHS,Best/Site Safety,Opossum,Building (Non-Residential),MANHATTAN
1720486105,40.535418,-73.89463,DCWP,Electric,Unsafe Use Of Playground,Residential Building/House,QUEENS
1707718845,40.719554,-74.16269,DOHMH,Flooring/Stairs,Merchandise,Residential,MANHATTAN
1718109254,40.751112,-73.815925,NYC311-PRD,Graffiti,Blocked Hydrant,OTHER,BRONX
1709993477,40.784919,-74.093719,NYPD,Wood Pile Remaining,Toilet,Taxi,BROOKLYN
1694920747,40.534231,-73.885013,DOHMH,For Hire Vehicle Complaint,Tobacco Sales,Public/Unfenced Area,BROOKLYN
1712481740,40.79771,-74.203405,DSNY,Illegal Parking,Structure - Indoors,OTHER,BROOKLYN
1717519950,40.795189,-73.72909,NYC311-PRD,Noise - Residential,Building Shaking/Vibrating/Structural Stability,Residential Building,STATEN ISLAND
1696831072,40.507657,-74.080124,DOB,Hazardous Materials,Wiring,Sidewalk,BROOKLYN
1687752246,40.91999,-74.16478,DOE,Water System,Cabinet,Stairwell,STATEN ISLAND
1728593142,40.81023,-73.960408,NYC311-PRD,Hazardous Materials,Wiring,UNKNOWN,BROOKLYN
1712629730,40.658222,-74.160764,TLC,Smoking Or Vaping,Work Without A Permit - Occupied Multiple Dwelling,UNKNOWN,BROOKLYN
1720946971,40.683823,-74.024028,NYC311-PRD,Street Light Condition,Engine Idling,Residential Building/House,STATEN ISLAND
1691670389,40.816004,-73.81891,DOB,Noise - Street/Sidewalk,Entire Building,Mixed Use,QUEENS
1733213890,40.850748,-74.047687,HPD,Litter Basket Request,Overnight Commercial Storage,Lobby,QUEENS
1706298696,40.721533,-73.718553,TLC,Derelict Vehicles,Sprinkler,Business,MANHATTAN
1676050927,40.769295,-73.769236,DSNY,Broken Parking Meter,Use Indoor,Store/Commercial,BRONX
1691679455,40.535228,-74.161828,DPR,Noise - House Of Worship,Commercial Overnight Parking,Residential Building,BRONX
1733652153,40.593256,-74.00188,DOHMH,Animal In A Park,Noise,3+ Family Mixed Use Building,QUEENS
1706238327,40.657064,-74.037609,DEP,Illegal Fireworks,Dust From Construction,3+ Family Apartment Building,MANHATTAN
1735015869,40.541615,-73.856913,DOHMH,Unsanitary Animal Pvt Property,Coin Or Card Did Not Register,Business,BRONX
1691801350,40.885306,-73.99015,TLC,Cannabis Retailer,Window Guard Broken/Missing,School,QUEENS
1713844522,40.502206,-74.206426,DOE,Door/Window,Compost,Street/Curbside,Unspecified
1713410451,40.721664,-74.188847,DOE,Dumpster Complaint,Hitting Power Lines,Bus Stop Shelter,BRONX
1688550604,40.676327,-73.813355,DPR,Bike Rack,Carbon Monoxide Detector,Sidewalk,STATEN ISLAND
1708523160,40.506903,-73.966543,DOB,Street Condition,Clothing/Glasses,Lobby,QUEENS
1672654180,40.75822,-74.11769,DOT,Dead Animal,Traffic Signal Light,Apartment,STATEN ISLAND
1696748908,40.528425,-73.960667,DSNY,Unleashed Dog,Poster Or Sign,Street/Curbside,BRONX
1698752106,40.866799,-74.226056,DOT,Illegal Fireworks,Fence - None/Inadequate,3+ Family Apartment Building,MANHATTAN
1725465882,40.528375,-74.117381,NYC311-PRD,Residential Disposal Complaint,Car Wash,Subway,Unspecified
1723329063,40.639658,-74.225615,DSNY,Hazardous Materials,Structure - Indoors,Commercial Building,Unspecified
1703729514,40.911944,-73.986808,DHS,Urinating In Public,Chronic Dumping,Alley,Unspecified
1724638455,40.896314,-74.229659,DOB,Appliance,Dog Off Leash,3+ Family Apt. Building,MANHATTAN
1735186666,40.630232,-74.030977,TLC,Noise - Vehicle,Ped Multiple Lamps,House And Store,BRONX
1723101697,40.771698,-74.092639,TLC,Traffic Signal Condition,Bbq Outside Authorized Area,OTHER,MANHATTAN
1680902576,40.835724,-74.009677,DOT,Street Sign - Missing,Non-Chronic,Private School,MANHATTAN
